Namespace(augment=True, bs=256, classes=100, depth_id=0, epoch=200, expansion=0.0, gpu_id=0, kernel=0, light_id=0, lr=0.1, model_index=3, seed=1234, stride=1, width_id=0)
Epoch,Accuracy,learn_lr
001,2.300,0.100000
002,4.720,0.100000
003,7.080,0.100000
004,9.440,0.100000
005,12.910,0.100000
006,17.060,0.100000
007,20.080,0.100000
008,23.370,0.100000
009,25.990,0.100000
010,24.320,0.100000
011,30.460,0.100000
012,30.180,0.100000
013,35.320,0.100000
014,35.890,0.100000
015,37.430,0.100000
016,31.740,0.100000
017,37.810,0.100000
018,33.310,0.100000
019,42.240,0.100000
020,41.940,0.100000
021,44.950,0.100000
022,45.040,0.100000
023,44.080,0.100000
024,47.370,0.100000
025,46.020,0.100000
026,47.320,0.100000
027,42.400,0.100000
028,47.830,0.100000
029,48.030,0.100000
030,49.580,0.100000
031,50.290,0.100000
032,48.950,0.100000
033,51.150,0.100000
034,50.010,0.100000
035,52.740,0.100000
036,49.660,0.100000
037,51.450,0.100000
038,51.320,0.100000
039,52.940,0.100000
040,52.680,0.100000
041,49.570,0.100000
042,53.950,0.100000
043,54.940,0.100000
044,53.230,0.100000
045,54.570,0.100000
046,53.390,0.100000
047,55.850,0.100000
048,53.400,0.100000
049,56.790,0.100000
050,53.430,0.100000
051,55.210,0.100000
052,56.570,0.100000
053,54.380,0.100000
054,52.350,0.100000
055,57.260,0.100000
056,52.960,0.100000
057,56.690,0.100000
058,56.620,0.100000
059,54.740,0.100000
060,56.770,0.100000
061,69.180,0.010000
062,69.410,0.010000
063,70.020,0.010000
064,70.460,0.010000
065,70.950,0.010000
066,71.380,0.010000
067,71.900,0.010000
068,71.790,0.010000
069,71.830,0.010000
070,71.770,0.010000
071,71.920,0.010000
072,72.000,0.010000
073,72.140,0.010000
074,72.110,0.010000
075,72.480,0.010000
076,72.440,0.010000
077,72.360,0.010000
078,72.230,0.010000
079,72.270,0.010000
080,72.740,0.010000
081,72.440,0.010000
082,72.740,0.010000
083,72.220,0.010000
084,72.770,0.010000
085,72.650,0.010000
086,71.310,0.010000
087,72.500,0.010000
088,72.140,0.010000
089,72.260,0.010000
090,72.130,0.010000
091,72.770,0.010000
092,72.010,0.010000
093,72.440,0.010000
094,72.190,0.010000
095,72.200,0.010000
096,71.490,0.010000
097,72.030,0.010000
098,72.390,0.010000
099,71.230,0.010000
100,71.680,0.010000
101,72.090,0.010000
102,72.200,0.010000
103,71.450,0.010000
104,71.500,0.010000
105,71.840,0.010000
106,72.030,0.010000
107,71.880,0.010000
108,71.850,0.010000
109,71.640,0.010000
110,71.660,0.010000
111,74.360,0.001000
112,74.530,0.001000
113,74.780,0.001000
114,74.640,0.001000
115,75.030,0.001000
116,74.910,0.001000
117,75.000,0.001000
118,74.780,0.001000
119,75.120,0.001000
120,74.940,0.001000
121,75.220,0.001000
122,75.300,0.001000
123,75.070,0.001000
124,75.050,0.001000
125,75.080,0.001000
126,75.190,0.001000
127,75.330,0.001000
128,75.180,0.001000
129,75.100,0.001000
130,75.430,0.001000
131,75.290,0.001000
132,75.570,0.001000
133,75.320,0.001000
134,75.530,0.001000
135,75.460,0.001000
136,75.630,0.001000
137,75.280,0.001000
138,75.320,0.001000
139,75.370,0.001000
140,75.580,0.001000
141,75.370,0.001000
142,75.400,0.001000
143,75.530,0.001000
144,75.160,0.001000
145,75.200,0.001000
146,75.220,0.001000
147,75.460,0.001000
148,75.640,0.001000
149,75.400,0.001000
150,75.610,0.001000
151,75.600,0.001000
152,75.760,0.001000
153,75.500,0.001000
154,75.350,0.001000
155,75.450,0.001000
156,75.580,0.001000
157,75.360,0.001000
158,75.530,0.001000
159,75.370,0.001000
160,75.700,0.001000
161,76.080,0.000100
162,75.790,0.000100
163,75.840,0.000100
164,75.770,0.000100
165,75.770,0.000100
166,75.700,0.000100
167,75.870,0.000100
168,75.820,0.000100
169,75.780,0.000100
170,75.840,0.000100
171,75.960,0.000100
172,75.800,0.000100
173,75.840,0.000100
174,75.750,0.000100
175,75.620,0.000100
176,75.870,0.000100
177,75.850,0.000100
178,75.680,0.000100
179,75.820,0.000100
180,75.780,0.000100
181,75.840,0.000100
182,75.910,0.000100
183,75.670,0.000100
184,75.900,0.000100
185,75.870,0.000100
186,75.820,0.000100
187,76.010,0.000100
188,75.820,0.000100
189,75.690,0.000100
190,75.760,0.000100
191,75.860,0.000100
192,75.830,0.000100
193,75.710,0.000100
194,75.810,0.000100
195,75.690,0.000100
196,75.540,0.000100
197,75.770,0.000100
198,75.830,0.000100
199,75.680,0.000100
200,75.990,0.000100
The epoch = 161,max accuracy= 76.080
Total running time = 01:42:19
