Namespace(augment=True, bs=256, classes=100, depth_id=0, epoch=200, expansion=0.0, gpu_id=2, kernel=0, light_id=0, lr=0.1, model_index=12, seed=1234, stride=1, width_id=0)
Epoch,Accuracy,learn_lr
001,1.340,0.100000
002,2.510,0.100000
003,5.540,0.100000
004,8.080,0.100000
005,9.650,0.100000
006,14.610,0.100000
007,19.910,0.100000
008,25.740,0.100000
009,26.320,0.100000
010,32.200,0.100000
011,40.140,0.100000
012,40.960,0.100000
013,47.040,0.100000
014,46.560,0.100000
015,47.250,0.100000
016,51.100,0.100000
017,52.330,0.100000
018,52.240,0.100000
019,52.600,0.100000
020,54.290,0.100000
021,52.960,0.100000
022,55.710,0.100000
023,57.100,0.100000
024,54.370,0.100000
025,54.310,0.100000
026,57.640,0.100000
027,56.770,0.100000
028,58.040,0.100000
029,57.030,0.100000
030,59.240,0.100000
031,57.000,0.100000
032,58.920,0.100000
033,57.060,0.100000
034,57.240,0.100000
035,56.780,0.100000
036,61.410,0.100000
037,55.260,0.100000
038,58.660,0.100000
039,59.640,0.100000
040,60.350,0.100000
041,57.090,0.100000
042,60.760,0.100000
043,56.930,0.100000
044,56.280,0.100000
045,59.210,0.100000
046,57.430,0.100000
047,59.380,0.100000
048,57.480,0.100000
049,60.150,0.100000
050,63.250,0.100000
051,63.550,0.100000
052,61.410,0.100000
053,60.940,0.100000
054,60.850,0.100000
055,58.610,0.100000
056,59.420,0.100000
057,55.390,0.100000
058,64.820,0.100000
059,62.720,0.100000
060,60.180,0.100000
061,75.240,0.010000
062,75.970,0.010000
063,76.900,0.010000
064,76.750,0.010000
065,77.480,0.010000
066,77.750,0.010000
067,77.700,0.010000
068,77.550,0.010000
069,78.080,0.010000
070,78.580,0.010000
071,78.050,0.010000
072,77.610,0.010000
073,77.810,0.010000
074,77.800,0.010000
075,77.620,0.010000
076,78.520,0.010000
077,78.300,0.010000
078,77.550,0.010000
079,77.950,0.010000
080,78.040,0.010000
081,77.630,0.010000
082,78.570,0.010000
083,78.020,0.010000
084,77.730,0.010000
085,77.940,0.010000
086,78.080,0.010000
087,78.310,0.010000
088,78.280,0.010000
089,77.500,0.010000
090,77.680,0.010000
091,77.520,0.010000
092,78.450,0.010000
093,77.360,0.010000
094,78.180,0.010000
095,77.900,0.010000
096,77.650,0.010000
097,78.020,0.010000
098,77.990,0.010000
099,77.180,0.010000
100,77.270,0.010000
101,78.000,0.010000
102,77.650,0.010000
103,76.720,0.010000
104,76.690,0.010000
105,77.500,0.010000
106,77.290,0.010000
107,77.260,0.010000
108,76.950,0.010000
109,76.170,0.010000
110,77.260,0.010000
111,79.430,0.001000
112,79.810,0.001000
113,79.520,0.001000
114,79.660,0.001000
115,79.700,0.001000
116,80.070,0.001000
117,79.850,0.001000
118,79.900,0.001000
119,79.820,0.001000
120,79.960,0.001000
121,79.700,0.001000
122,79.750,0.001000
123,79.940,0.001000
124,79.690,0.001000
125,80.030,0.001000
126,80.070,0.001000
127,80.070,0.001000
128,79.900,0.001000
129,79.950,0.001000
130,79.940,0.001000
131,79.760,0.001000
132,79.860,0.001000
133,79.810,0.001000
134,79.840,0.001000
135,79.950,0.001000
136,79.730,0.001000
137,79.720,0.001000
138,80.130,0.001000
139,79.900,0.001000
140,80.100,0.001000
141,79.960,0.001000
142,80.050,0.001000
143,79.970,0.001000
144,80.110,0.001000
145,79.860,0.001000
146,79.950,0.001000
147,79.900,0.001000
148,79.840,0.001000
149,79.740,0.001000
150,79.860,0.001000
151,79.950,0.001000
152,80.090,0.001000
153,79.880,0.001000
154,80.050,0.001000
155,79.950,0.001000
156,79.980,0.001000
157,79.910,0.001000
158,79.810,0.001000
159,80.080,0.001000
160,80.120,0.001000
161,80.160,0.000100
162,80.130,0.000100
163,80.180,0.000100
164,80.110,0.000100
165,79.980,0.000100
166,80.150,0.000100
167,80.100,0.000100
168,80.070,0.000100
169,80.140,0.000100
170,80.090,0.000100
171,80.130,0.000100
172,80.110,0.000100
173,80.060,0.000100
174,80.180,0.000100
175,80.300,0.000100
176,80.060,0.000100
177,80.050,0.000100
178,80.240,0.000100
179,80.250,0.000100
180,80.170,0.000100
181,80.260,0.000100
182,80.190,0.000100
183,80.170,0.000100
184,80.130,0.000100
185,80.220,0.000100
186,80.070,0.000100
187,80.240,0.000100
188,80.220,0.000100
189,80.160,0.000100
190,80.180,0.000100
191,80.280,0.000100
192,80.280,0.000100
193,80.100,0.000100
194,80.120,0.000100
195,80.280,0.000100
196,80.130,0.000100
197,80.290,0.000100
198,80.370,0.000100
199,80.220,0.000100
200,80.250,0.000100
The epoch = 198,max accuracy= 80.370
Total running time = 02:50:53
