Namespace(augment=True, bs=256, classes=100, depth_id=0, epoch=200, expansion=0.0, gpu_id=0, kernel=0, light_id=0, lr=0.1, model_index=8, seed=1234, stride=1, width_id=0)
Epoch,Accuracy,learn_lr
001,10.100,0.100000
002,15.590,0.100000
003,19.780,0.100000
004,25.460,0.100000
005,28.010,0.100000
006,36.550,0.100000
007,34.740,0.100000
008,40.480,0.100000
009,40.900,0.100000
010,44.270,0.100000
011,44.760,0.100000
012,48.240,0.100000
013,48.490,0.100000
014,52.580,0.100000
015,51.040,0.100000
016,54.650,0.100000
017,52.780,0.100000
018,54.750,0.100000
019,55.950,0.100000
020,57.020,0.100000
021,55.740,0.100000
022,56.410,0.100000
023,53.690,0.100000
024,50.700,0.100000
025,57.840,0.100000
026,57.750,0.100000
027,53.150,0.100000
028,55.470,0.100000
029,59.800,0.100000
030,56.850,0.100000
031,58.570,0.100000
032,56.640,0.100000
033,56.130,0.100000
034,57.700,0.100000
035,58.370,0.100000
036,57.440,0.100000
037,55.290,0.100000
038,58.700,0.100000
039,58.570,0.100000
040,58.960,0.100000
041,59.430,0.100000
042,60.090,0.100000
043,57.980,0.100000
044,58.980,0.100000
045,56.650,0.100000
046,61.070,0.100000
047,57.600,0.100000
048,61.210,0.100000
049,59.840,0.100000
050,60.100,0.100000
051,58.330,0.100000
052,59.930,0.100000
053,60.130,0.100000
054,59.010,0.100000
055,57.970,0.100000
056,59.950,0.100000
057,60.780,0.100000
058,59.980,0.100000
059,57.420,0.100000
060,61.080,0.100000
061,74.780,0.010000
062,75.220,0.010000
063,75.690,0.010000
064,75.600,0.010000
065,76.210,0.010000
066,76.510,0.010000
067,76.480,0.010000
068,76.070,0.010000
069,76.700,0.010000
070,76.710,0.010000
071,76.730,0.010000
072,76.540,0.010000
073,76.940,0.010000
074,76.620,0.010000
075,76.550,0.010000
076,76.310,0.010000
077,76.420,0.010000
078,76.540,0.010000
079,76.400,0.010000
080,76.630,0.010000
081,76.520,0.010000
082,76.530,0.010000
083,77.020,0.010000
084,76.710,0.010000
085,76.360,0.010000
086,76.720,0.010000
087,76.520,0.010000
088,76.550,0.010000
089,76.380,0.010000
090,76.240,0.010000
091,76.520,0.010000
092,76.350,0.010000
093,76.580,0.010000
094,75.850,0.010000
095,76.120,0.010000
096,76.390,0.010000
097,76.250,0.010000
098,76.680,0.010000
099,76.580,0.010000
100,76.220,0.010000
101,75.570,0.010000
102,76.680,0.010000
103,75.290,0.010000
104,75.480,0.010000
105,75.900,0.010000
106,75.780,0.010000
107,75.590,0.010000
108,75.060,0.010000
109,75.990,0.010000
110,76.290,0.010000
111,77.880,0.001000
112,78.400,0.001000
113,78.050,0.001000
114,78.270,0.001000
115,78.360,0.001000
116,78.240,0.001000
117,78.250,0.001000
118,78.250,0.001000
119,78.430,0.001000
120,78.050,0.001000
121,78.270,0.001000
122,78.280,0.001000
123,78.240,0.001000
124,78.340,0.001000
125,78.270,0.001000
126,78.340,0.001000
127,78.450,0.001000
128,78.190,0.001000
129,78.330,0.001000
130,78.320,0.001000
131,78.090,0.001000
132,78.230,0.001000
133,78.220,0.001000
134,78.000,0.001000
135,78.240,0.001000
136,78.020,0.001000
137,78.170,0.001000
138,78.350,0.001000
139,78.430,0.001000
140,78.380,0.001000
141,78.370,0.001000
142,78.600,0.001000
143,78.430,0.001000
144,78.430,0.001000
145,78.450,0.001000
146,78.360,0.001000
147,78.510,0.001000
148,78.510,0.001000
149,78.510,0.001000
150,78.510,0.001000
151,78.430,0.001000
152,78.410,0.001000
153,78.380,0.001000
154,78.450,0.001000
155,78.460,0.001000
156,78.330,0.001000
157,78.500,0.001000
158,78.270,0.001000
159,78.420,0.001000
160,78.570,0.001000
161,78.500,0.000100
162,78.600,0.000100
163,78.640,0.000100
164,78.690,0.000100
165,78.570,0.000100
166,78.640,0.000100
167,78.600,0.000100
168,78.450,0.000100
169,78.650,0.000100
170,78.640,0.000100
171,78.580,0.000100
172,78.720,0.000100
173,78.660,0.000100
174,78.630,0.000100
175,78.730,0.000100
176,78.580,0.000100
177,78.630,0.000100
178,78.550,0.000100
179,78.740,0.000100
180,78.570,0.000100
181,78.610,0.000100
182,78.460,0.000100
183,78.700,0.000100
184,78.470,0.000100
185,78.670,0.000100
186,78.790,0.000100
187,78.480,0.000100
188,78.610,0.000100
189,78.520,0.000100
190,78.650,0.000100
191,78.500,0.000100
192,78.650,0.000100
193,78.460,0.000100
194,78.370,0.000100
195,78.620,0.000100
196,78.720,0.000100
197,78.600,0.000100
198,78.700,0.000100
199,78.810,0.000100
200,78.690,0.000100
The epoch = 199,max accuracy= 78.810
Total running time = 01:18:14
