Namespace(augment=True, bs=256, classes=100, depth_id=0, epoch=200, expansion=0.0, gpu_id=1, kernel=0, light_id=0, lr=0.1, model_index=15, seed=1234, stride=1, width_id=0)
Epoch,Accuracy,learn_lr
001,8.300,0.100000
002,11.900,0.100000
003,14.440,0.100000
004,23.690,0.100000
005,22.140,0.100000
006,26.910,0.100000
007,28.440,0.100000
008,30.300,0.100000
009,30.280,0.100000
010,33.470,0.100000
011,32.890,0.100000
012,33.590,0.100000
013,34.660,0.100000
014,41.530,0.100000
015,41.970,0.100000
016,41.220,0.100000
017,45.310,0.100000
018,41.300,0.100000
019,45.130,0.100000
020,42.480,0.100000
021,40.180,0.100000
022,41.390,0.100000
023,46.990,0.100000
024,47.320,0.100000
025,42.970,0.100000
026,41.450,0.100000
027,45.110,0.100000
028,38.010,0.100000
029,48.530,0.100000
030,45.790,0.100000
031,45.320,0.100000
032,47.730,0.100000
033,48.050,0.100000
034,44.900,0.100000
035,46.540,0.100000
036,47.190,0.100000
037,46.660,0.100000
038,43.900,0.100000
039,49.470,0.100000
040,45.600,0.100000
041,50.580,0.100000
042,50.040,0.100000
043,46.200,0.100000
044,48.150,0.100000
045,45.990,0.100000
046,50.260,0.100000
047,48.210,0.100000
048,45.440,0.100000
049,50.090,0.100000
050,46.190,0.100000
051,52.760,0.100000
052,45.470,0.100000
053,48.790,0.100000
054,50.790,0.100000
055,47.980,0.100000
056,52.140,0.100000
057,48.890,0.100000
058,46.530,0.100000
059,45.650,0.100000
060,48.520,0.100000
061,64.490,0.010000
062,65.230,0.010000
063,65.500,0.010000
064,66.800,0.010000
065,66.140,0.010000
066,66.320,0.010000
067,66.890,0.010000
068,67.130,0.010000
069,67.060,0.010000
070,67.250,0.010000
071,67.670,0.010000
072,68.150,0.010000
073,67.280,0.010000
074,66.660,0.010000
075,67.510,0.010000
076,68.110,0.010000
077,67.480,0.010000
078,67.930,0.010000
079,68.050,0.010000
080,68.070,0.010000
081,67.940,0.010000
082,67.660,0.010000
083,68.040,0.010000
084,67.990,0.010000
085,68.100,0.010000
086,68.430,0.010000
087,68.190,0.010000
088,66.540,0.010000
089,67.080,0.010000
090,67.850,0.010000
091,68.250,0.010000
092,66.340,0.010000
093,67.410,0.010000
094,66.510,0.010000
095,66.900,0.010000
096,67.770,0.010000
097,67.150,0.010000
098,67.340,0.010000
099,66.800,0.010000
100,68.350,0.010000
101,66.780,0.010000
102,67.650,0.010000
103,66.720,0.010000
104,66.800,0.010000
105,67.100,0.010000
106,67.430,0.010000
107,66.690,0.010000
108,66.780,0.010000
109,67.140,0.010000
110,64.620,0.010000
111,70.950,0.001000
112,71.070,0.001000
113,71.110,0.001000
114,71.110,0.001000
115,71.470,0.001000
116,71.240,0.001000
117,71.650,0.001000
118,71.460,0.001000
119,71.480,0.001000
120,71.490,0.001000
121,71.580,0.001000
122,71.650,0.001000
123,71.560,0.001000
124,71.910,0.001000
125,71.660,0.001000
126,71.770,0.001000
127,71.670,0.001000
128,71.870,0.001000
129,71.820,0.001000
130,71.930,0.001000
131,71.830,0.001000
132,72.040,0.001000
133,71.940,0.001000
134,71.990,0.001000
135,72.320,0.001000
136,72.200,0.001000
137,71.860,0.001000
138,71.970,0.001000
139,71.940,0.001000
140,71.610,0.001000
141,72.070,0.001000
142,71.770,0.001000
143,72.050,0.001000
144,72.210,0.001000
145,72.130,0.001000
146,72.150,0.001000
147,71.760,0.001000
148,72.170,0.001000
149,71.940,0.001000
150,72.070,0.001000
151,72.440,0.001000
152,72.100,0.001000
153,72.370,0.001000
154,72.130,0.001000
155,72.320,0.001000
156,72.280,0.001000
157,72.080,0.001000
158,72.280,0.001000
159,72.100,0.001000
160,71.760,0.001000
161,72.130,0.000100
162,72.320,0.000100
163,72.210,0.000100
164,72.230,0.000100
165,72.300,0.000100
166,72.350,0.000100
167,72.410,0.000100
168,72.370,0.000100
169,72.310,0.000100
170,72.380,0.000100
171,72.380,0.000100
172,72.550,0.000100
173,72.310,0.000100
174,72.470,0.000100
175,72.430,0.000100
176,72.220,0.000100
177,72.360,0.000100
178,72.400,0.000100
179,72.460,0.000100
180,72.560,0.000100
181,72.280,0.000100
182,72.420,0.000100
183,72.530,0.000100
184,72.520,0.000100
185,72.370,0.000100
186,72.430,0.000100
187,72.280,0.000100
188,72.400,0.000100
189,72.580,0.000100
190,72.400,0.000100
191,72.510,0.000100
192,72.560,0.000100
193,72.300,0.000100
194,72.600,0.000100
195,72.360,0.000100
196,72.440,0.000100
197,72.380,0.000100
198,72.620,0.000100
199,72.480,0.000100
200,72.310,0.000100
The epoch = 198,max accuracy= 72.620
Total running time = 00:51:12
