Namespace(augment=True, bs=256, classes=100, depth_id=0, epoch=200, expansion=1.0, gpu_id=1, kernel=3, light_id=0, lr=0.1, model_index=1, seed=1234, stride=2, width_id=0)
Epoch,Accuracy,learn_lr
# width_list = [[32,64, 128, 256, 512],[32,96, 192, 384, 512], [64,128, 256, 384, 768], [64,128, 256, 512, 1024]]
001,9.140,0.100000
002,15.780,0.100000
003,22.200,0.100000
004,23.130,0.100000
005,28.990,0.100000
006,31.650,0.100000
007,33.940,0.100000
008,38.720,0.100000
009,39.460,0.100000
010,43.730,0.100000
011,44.220,0.100000
012,41.680,0.100000
013,45.140,0.100000
014,45.650,0.100000
015,44.830,0.100000
016,45.000,0.100000
017,46.980,0.100000
018,46.030,0.100000
019,49.010,0.100000
020,49.650,0.100000
021,49.150,0.100000
022,50.040,0.100000
023,51.340,0.100000
024,49.290,0.100000
025,51.770,0.100000
026,46.680,0.100000
027,48.080,0.100000
028,52.370,0.100000
029,53.350,0.100000
030,54.180,0.100000
031,54.860,0.100000
032,53.820,0.100000
033,54.070,0.100000
034,51.140,0.100000
035,54.000,0.100000
036,51.560,0.100000
037,54.980,0.100000
038,53.130,0.100000
039,53.420,0.100000
040,54.940,0.100000
041,53.370,0.100000
042,51.740,0.100000
043,54.670,0.100000
044,54.770,0.100000
045,55.400,0.100000
046,53.650,0.100000
047,54.440,0.100000
048,53.930,0.100000
049,53.860,0.100000
050,53.680,0.100000
051,53.860,0.100000
052,57.010,0.100000
053,54.650,0.100000
054,53.880,0.100000
055,52.010,0.100000
056,56.690,0.100000
057,55.170,0.100000
058,54.730,0.100000
059,54.370,0.100000
060,57.340,0.100000
061,67.130,0.010000
062,68.170,0.010000
063,68.320,0.010000
064,68.860,0.010000
065,69.620,0.010000
066,70.050,0.010000
067,70.290,0.010000
068,69.980,0.010000
069,70.540,0.010000
070,70.780,0.010000
071,70.870,0.010000
072,70.960,0.010000
073,70.380,0.010000
074,70.750,0.010000
075,70.480,0.010000
076,71.000,0.010000
077,70.830,0.010000
078,71.470,0.010000
079,71.090,0.010000
080,71.480,0.010000
081,71.550,0.010000
082,70.840,0.010000
083,72.030,0.010000
084,71.480,0.010000
085,71.560,0.010000
086,71.190,0.010000
087,71.460,0.010000
088,71.350,0.010000
089,71.550,0.010000
090,71.200,0.010000
091,71.480,0.010000
092,71.830,0.010000
093,71.010,0.010000
094,71.850,0.010000
095,71.460,0.010000
096,71.510,0.010000
097,71.630,0.010000
098,71.110,0.010000
099,70.860,0.010000
100,71.050,0.010000
101,71.260,0.010000
102,71.440,0.010000
103,71.830,0.010000
104,71.440,0.010000
105,71.690,0.010000
106,70.960,0.010000
107,71.330,0.010000
108,71.010,0.010000
109,70.550,0.010000
110,71.350,0.010000
111,73.620,0.001000
112,74.130,0.001000
113,74.420,0.001000
114,74.740,0.001000
115,74.720,0.001000
116,74.870,0.001000
117,74.770,0.001000
118,74.770,0.001000
119,74.520,0.001000
120,74.720,0.001000
121,74.820,0.001000
122,74.750,0.001000
123,74.400,0.001000
124,74.720,0.001000
125,74.730,0.001000
126,75.060,0.001000
127,74.680,0.001000
128,74.840,0.001000
129,74.790,0.001000
130,74.960,0.001000
131,74.960,0.001000
132,74.820,0.001000
133,75.030,0.001000
134,75.000,0.001000
135,74.950,0.001000
136,75.200,0.001000
137,74.980,0.001000
138,75.050,0.001000
139,75.170,0.001000
140,75.340,0.001000
141,75.290,0.001000
142,75.110,0.001000
143,75.090,0.001000
144,74.940,0.001000
145,74.950,0.001000
146,74.950,0.001000
147,74.820,0.001000
148,74.940,0.001000
149,74.670,0.001000
150,74.790,0.001000
151,75.030,0.001000
152,74.690,0.001000
153,74.790,0.001000
154,75.040,0.001000
155,75.080,0.001000
156,75.110,0.001000
157,74.940,0.001000
158,75.030,0.001000
159,75.070,0.001000
160,75.060,0.001000
161,75.030,0.000100
162,75.060,0.000100
163,75.010,0.000100
164,75.090,0.000100
165,75.070,0.000100
166,75.120,0.000100
167,75.080,0.000100
168,75.090,0.000100
169,75.130,0.000100
170,75.220,0.000100
171,75.150,0.000100
172,75.320,0.000100
173,75.140,0.000100
174,75.120,0.000100
175,75.240,0.000100
176,75.140,0.000100
177,75.310,0.000100
178,75.260,0.000100
179,75.230,0.000100
180,75.270,0.000100
181,75.010,0.000100
182,75.150,0.000100
183,75.070,0.000100
184,75.260,0.000100
185,75.340,0.000100
186,75.260,0.000100
187,75.040,0.000100
188,75.120,0.000100
189,75.100,0.000100
190,75.210,0.000100
191,75.300,0.000100
192,75.200,0.000100
193,75.070,0.000100
194,75.070,0.000100
195,75.350,0.000100
196,75.110,0.000100
197,75.170,0.000100
198,75.200,0.000100
199,75.200,0.000100
200,75.280,0.000100
The epoch = 195,max accuracy= 75.350
Total running time = 00:56:56
