Namespace(augment=True, bs=256, classes=200, depth_id=1, epoch=200, expansion=-1.0, gpu_id=1, kernel=3, light_id=0, lr=0.1, model_index=2, seed=1234, stride=1, width_id=1)
Epoch,Accuracy,learn_lr
001,3.420,0.100000
002,9.610,0.100000
003,15.550,0.100000
004,20.090,0.100000
005,21.920,0.100000
006,28.440,0.100000
007,28.560,0.100000
008,28.230,0.100000
009,28.820,0.100000
010,33.410,0.100000
011,33.080,0.100000
012,35.660,0.100000
013,35.350,0.100000
014,34.640,0.100000
015,38.240,0.100000
016,37.600,0.100000
017,36.200,0.100000
018,34.380,0.100000
019,36.890,0.100000
020,37.670,0.100000
021,40.390,0.100000
022,41.490,0.100000
023,39.630,0.100000
024,40.550,0.100000
025,41.150,0.100000
026,41.580,0.100000
027,41.930,0.100000
028,40.330,0.100000
029,41.300,0.100000
030,42.910,0.100000
031,37.970,0.100000
032,40.050,0.100000
033,41.050,0.100000
034,42.430,0.100000
035,44.110,0.100000
036,42.770,0.100000
037,41.320,0.100000
038,40.140,0.100000
039,42.490,0.100000
040,42.900,0.100000
041,45.050,0.100000
042,41.370,0.100000
043,41.660,0.100000
044,41.210,0.100000
045,40.430,0.100000
046,39.430,0.100000
047,44.130,0.100000
048,41.950,0.100000
049,42.470,0.100000
050,42.550,0.100000
051,42.140,0.100000
052,41.330,0.100000
053,43.960,0.100000
054,41.850,0.100000
055,40.000,0.100000
056,38.610,0.100000
057,43.620,0.100000
058,44.240,0.100000
059,42.920,0.100000
060,39.480,0.100000
061,59.540,0.010000
062,60.860,0.010000
063,61.610,0.010000
064,62.200,0.010000
065,62.460,0.010000
066,62.640,0.010000
067,63.200,0.010000
068,63.030,0.010000
069,63.060,0.010000
070,62.850,0.010000
071,63.860,0.010000
072,63.280,0.010000
073,63.730,0.010000
074,63.580,0.010000
075,63.600,0.010000
076,63.450,0.010000
077,63.290,0.010000
078,63.370,0.010000
079,63.340,0.010000
080,63.280,0.010000
081,63.520,0.010000
082,62.690,0.010000
083,62.870,0.010000
084,63.370,0.010000
085,64.080,0.010000
086,61.910,0.010000
087,62.400,0.010000
088,62.690,0.010000
089,63.330,0.010000
090,62.990,0.010000
091,63.130,0.010000
092,62.730,0.010000
093,62.570,0.010000
094,63.060,0.010000
095,62.090,0.010000
096,62.510,0.010000
097,62.700,0.010000
098,62.910,0.010000
099,62.060,0.010000
100,63.190,0.010000
101,62.470,0.010000
102,62.700,0.010000
103,62.170,0.010000
104,63.130,0.010000
105,62.380,0.010000
106,63.540,0.010000
107,62.320,0.010000
108,61.440,0.010000
109,63.040,0.010000
110,62.690,0.010000
111,67.900,0.001000
112,67.660,0.001000
113,68.140,0.001000
114,68.150,0.001000
115,68.230,0.001000
116,68.510,0.001000
117,68.220,0.001000
118,68.620,0.001000
119,68.380,0.001000
120,68.290,0.001000
121,68.350,0.001000
122,68.390,0.001000
123,68.530,0.001000
124,68.620,0.001000
125,68.330,0.001000
126,68.710,0.001000
127,68.710,0.001000
128,68.720,0.001000
129,68.380,0.001000
130,68.700,0.001000
131,68.680,0.001000
132,68.640,0.001000
133,68.630,0.001000
134,68.670,0.001000
135,68.600,0.001000
136,68.460,0.001000
137,68.550,0.001000
138,68.530,0.001000
139,68.530,0.001000
140,68.610,0.001000
141,68.710,0.001000
142,68.770,0.001000
143,68.610,0.001000
144,68.760,0.001000
145,68.550,0.001000
146,68.720,0.001000
147,68.510,0.001000
148,68.710,0.001000
149,68.730,0.001000
150,68.410,0.001000
151,68.580,0.001000
152,68.340,0.001000
153,68.470,0.001000
154,68.830,0.001000
155,68.380,0.001000
156,68.180,0.001000
157,68.220,0.001000
158,68.390,0.001000
159,68.280,0.001000
160,68.430,0.001000
161,68.750,0.000100
162,68.760,0.000100
163,68.820,0.000100
164,68.790,0.000100
165,68.720,0.000100
166,68.700,0.000100
167,68.750,0.000100
168,68.630,0.000100
169,68.700,0.000100
170,68.820,0.000100
171,68.820,0.000100
172,68.770,0.000100
173,68.620,0.000100
174,68.700,0.000100
175,68.770,0.000100
176,68.490,0.000100
177,68.640,0.000100
178,68.550,0.000100
179,68.490,0.000100
180,68.650,0.000100
181,68.770,0.000100
182,68.650,0.000100
183,68.920,0.000100
184,68.800,0.000100
185,68.750,0.000100
186,68.750,0.000100
187,68.810,0.000100
188,68.800,0.000100
189,68.920,0.000100
190,68.850,0.000100
191,68.660,0.000100
192,68.860,0.000100
193,68.910,0.000100
194,68.860,0.000100
195,68.950,0.000100
196,68.920,0.000100
197,68.820,0.000100
198,68.940,0.000100
199,68.860,0.000100
200,68.840,0.000100
The epoch = 195,max accuracy= 68.950
Total running time = 10:57:53
